Ls_num,Name,Portfolio,Rank,Year,appointment_begin,appointment_end,Constituency_No,State_name,Poll_No,gender,party,ID,start_source,end_source
17,Smt. Meenakashi Lekhi,External Affairs,MoS,2019,07-07-2021,Current,4,Delhi,0,F,BJP,17_Delhi_4_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Dr. Bhagwat Kishanrao Karad,Finance,MoS,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Anurag Singh Thakur,Finance,MoS,2019,30-05-2019,07-07-2021,3,Himachal_Pradesh,0,M,BJP,17_Himachal_Pradesh_3_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Pankaj Chaowdhary,Finance,MoS,2019,07-07-2021,Current,63,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_63_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Smt. Nirmala Sitharaman,Finance,CM,2019,30-05-2019,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Dr. L. Murugan,"Fisheries, Animal Husbandry and Dairying",MoS,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Dr. Sanjeev Kumar Balyan,"Fisheries, Animal Husbandry and Dairying",MoS,2019,07-07-2021,Current,3,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_3_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Giriraj Singh,"Fisheries, Animal Husbandry and Dairying",CM,2019,30-05-2019,07-07-2021,24,Bihar,0,M,BJP,17_Bihar_24_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Parshottam Rupala,"Fisheries, Animal Husbandry and Dairying",CM,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Pratap Chandra Sarangi,"Fisheries, Animal Husbandry and Dairying",MoS,2019,30-05-2019,07-07-2021,6,Odisha,0,M,BJP,17_Odisha_6_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Sanjeev Kumar Balyan,"Fisheries, Animal Husbandry and Dairying",MoS,2019,30-05-2019,Current,3,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_3_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Narendra Singh Tomar,Food Processing Industries,CM,2019,18-09-2020,07-07-2021,1,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_1_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_2398.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Pashu Pati Kumar Paras,Food Processing Industries,CM,2019,07-07-2021,Current,21,Bihar,0,M,LJP,17_Bihar_21_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Prahalad Singh Patel,Food Processing Industries,MoS,2019,07-07-2021,Current,7,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_7_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Rameswar Teli,Food Processing Industries,MoS,2019,30-05-2019,07-07-2021,13,Assam,0,M,BJP,17_Assam_13_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Smt. Harsimrat Kaur Badal,Food Processing Industries,CM,2019,30-05-2019,18-09-2020,11,Punjab,0,F,SAD,17_Punjab_11_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_2398.pdf
17,Dr. Bharati Pravin Pawar,Health and Family Welfare,MoS,2019,07-07-2021,Current,20,Maharashtra,0,F,BJP,17_Maharashtra_20_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Dr. Harsh Vardhan,Health and Family Welfare,CM,2019,30-05-2019,07-07-2021,1,Delhi,0,M,BJP,17_Delhi_1_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Ashwini Kumar Choubey,Health and Family Welfare,MoS,2019,30-05-2019,07-07-2021,33,Bihar,0,M,BJP,17_Bihar_33_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Mansukh Mandaviya,Health and Family Welfare,CM,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
