Ls_num,Name,Portfolio,Rank,Year,appointment_begin,Constituency_No,State_name,Poll_No,gender,party,ID
17,Shri Rajeev Chandrasekhar,Skill Development and Entrepreneurship; and Electronics and Information Technology,MoS,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Sushri Shobha Karandlaje,Agriculture and Farmers Welfare,MoS,2019,07-07-2021,15,Karnataka,0,F,BJP,17_Karnataka_15_0_1
17,Shri Bhanu Pratap Singh Verma,"Micro, Small and Medium Enterprises",MoS,2019,07-07-2021,45,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_45_0_1
17,Smt. Darshana Vikram Jardosh,Textiles; and Railways,MoS,2019,07-07-2021,24,Gujarat,0,F,BJP,17_Gujarat_24_0_1
17,Smt. Meenakashi Lekhi,External Affairs; and Culture,MoS,2019,07-07-2021,4,Delhi,0,F,BJP,17_Delhi_4_0_1
17,Smt. Annpurna Devi,Education,MoS,2019,07-07-2021,5,Jharkhand,0,F,BJP,17_Jharkhand_5_0_1
17,Shri A. Narayanaswamy,Social Justice and Empowerment,MoS,2019,07-07-2021,18,Karnataka,0,M,BJP,17_Karnataka_18_0_1
17,Shri Kaushal Kishore,Housing and Urban Affairs,MoS,2019,07-07-2021,34,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_34_0_1
17,Shri Ajay Bhatt,Defence; and Tourism,MoS,2019,07-07-2021,4,Uttarakhand,0,M,BJP,17_Uttarakhand_4_0_1
17,Shri B. L. Verma,Development of North Eastern Region; and Cooperation,MoS,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Ajay Kumar,Home Affairs,MoS,2019,07-07-2021,28,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_28_0_1
17,Shri Devusinh Chauhan,Communications,MoS,2019,07-07-2021,NA,NA,NA,NA,NA,17_NA_NA_NA_1
17,Shri Bhagwanth Khuba,New and Renewable Energy; and Chemicals and Fertilizers,MoS,2019,07-07-2021,7,Karnataka,0,M,BJP,17_Karnataka_7_0_1
17,Shri Kapil Moreshwar Patil,Panchayati Raj,MoS,2019,07-07-2021,23,Maharashtra,0,M,BJP,17_Maharashtra_23_0_1
17,Sushri Pratima Bhoumik,Social Justice and Empowerment,MoS,2019,07-07-2021,1,Tripura,0,F,BJP,17_Tripura_1_0_1
